,county_name,twelfth_grade_enrollment,num_test_takers,avg_english_score_act,avg_reading_score_act,avg_math_score_act,avg_science_score_act,pct_comp_score_21plus,participation_rate_act
1064,Sacramento,19540,3065,21,20,21,21,0.498,0.15685772773797338
1065,San Joaquin,11778,1348,22,21,21,21,0.514,0.11445067074206147
1066,Kern,14229,1257,21,20,20,20,0.433,0.08834071262913767
1067,Shasta,2161,173,26,24,24,24,0.757,0.08005552984729292
1068,Sutter,1827,196,23,22,22,22,0.597,0.10727969348659004
1069,Calaveras,451,31,26,24,24,24,0.871,0.06873614190687362
1070,Mono,420,20,26,24,24,24,0.8,0.047619047619047616
1071,Ventura,10750,1552,25,24,24,24,0.7,0.14437209302325582
1072,Marin,2647,753,27,26,25,25,0.805,0.28447298828862866
1073,El Dorado,2226,465,25,24,25,24,0.77,0.20889487870619947
1074,Mendocino,988,68,25,23,22,22,0.647,0.06882591093117409
1075,Glenn,500,72,21,19,19,20,0.347,0.144
1077,San Mateo,7235,1434,25,25,25,24,0.732,0.1982031789910159
1078,San Benito,885,123,21,20,21,21,0.455,0.13898305084745763
1079,Sonoma,5496,837,24,23,23,23,0.656,0.15229257641921398
1080,Kings,2004,282,18,17,18,18,0.245,0.1407185628742515
1082,Inyo,548,28,23,22,22,22,0.679,0.051094890510948905
1083,Madera,2352,375,19,18,19,19,0.333,0.15943877551020408
1084,Humboldt,1342,107,25,24,24,24,0.738,0.07973174366616989
1085,Santa Cruz,3239,567,23,22,22,22,0.559,0.17505402902130288
1086,Stanislaus,9071,753,22,21,21,21,0.535,0.08301179583287399
1087,Santa Barbara,5304,824,23,23,23,23,0.614,0.15535444947209653
1088,Lake,667,65,21,19,19,19,0.415,0.09745127436281859
1089,Orange,41235,8501,25,24,24,24,0.716,0.20615981569055414
1090,Contra Costa,14593,3183,25,25,24,24,0.707,0.21811827588569863
1091,Amador,305,37,24,23,23,22,0.784,0.12131147540983607
1092,San Diego,42040,8081,24,23,23,23,0.647,0.19222169362511893
1093,Riverside,34277,4767,21,20,20,20,0.45,0.1390728476821192
1094,Modoc,87,55,17,15,17,18,0.2,0.632183908045977
1095,Tuolumne,518,23,26,23,23,23,0.783,0.0444015444015444
1096,Napa,1717,209,22,22,22,22,0.622,0.12172393709959231
1097,Butte,2551,226,23,22,23,23,0.646,0.08859270874166994
1098,Yuba,977,64,21,19,20,20,0.469,0.06550665301944729
1099,Solano,4845,436,23,22,22,22,0.599,0.08998968008255934
1101,San Bernardino,31635,5418,18,17,19,18,0.286,0.17126600284495022
1102,Lassen,283,27,22,21,21,21,0.556,0.09540636042402827
1104,Colusa,339,26,19,18,19,20,0.346,0.07669616519174041
1106,Alameda,17567,3630,25,24,24,24,0.677,0.20663744520976832
1107,Placer,5931,1292,25,24,24,24,0.769,0.21783847580509189
1108,Mariposa,155,16,24,22,23,22,0.5,0.1032258064516129
1109,Tulare,7558,951,20,18,19,19,0.343,0.1258269383434771
1110,Tehama,688,302,19,18,19,19,0.348,0.438953488372093
1111,Fresno,14299,1805,21,20,20,20,0.417,0.12623260367857891
1112,San Luis Obispo,2841,570,24,23,23,23,0.695,0.2006335797254488
1113,Monterey,5768,1022,20,19,20,20,0.379,0.17718446601941748
1114,Yolo,2299,355,23,23,23,23,0.628,0.1544149630274032
1115,Imperial,3168,496,20,19,20,19,0.365,0.15656565656565657
1116,Siskiyou,462,95,21,20,21,20,0.484,0.20562770562770563
1117,Santa Clara,21656,4228,27,27,26,26,0.78,0.19523457702253416
1118,San Francisco,4447,1078,22,21,22,21,0.524,0.24241061389700921
1119,Merced,4559,594,20,18,18,19,0.303,0.1302917306426848
1120,Nevada,1869,76,25,24,24,24,0.75,0.04066345639379347
1121,Los Angeles,114618,20678,21,20,21,20,0.444,0.1804079638451203
